year,state,source,generation
1990,NV,Hydro,1735081
1990,NV,Natural Gas,2217027
1990,NV,Petroleum,284108
1990,NY,Total,135345692
1990,NY,Coal,25913047
1990,NY,Hydro,28188222
1990,NY,Natural Gas,22724335
1990,NY,Nuclear,23623356
1990,NY,Petroleum,33884855
1990,OH,Total,127980527
1990,OH,Coal,115832650
1990,OH,Hydro,181395
1990,OH,Natural Gas,241585
1990,OH,Nuclear,10663897
1990,OH,Petroleum,374481
1990,OK,Total,47079131
1990,OK,Coal,25655347
1990,OK,Hydro,2730594
1990,OK,Natural Gas,18236766
1990,OK,Petroleum,76947
1990,OR,Total,50372236
1990,OR,Coal,1317344
1990,OR,Hydro,41240367
1990,OR,Natural Gas,819328
1990,OR,Nuclear,6073796
1990,OR,Petroleum,27777
1990,OR,Wind,539
1990,PA,Total,175623311
1990,PA,Coal,106677155
1990,PA,Hydro,2869192
1990,PA,Natural Gas,2833882
1990,PA,Nuclear,57787051
1990,PA,Petroleum,4654522
1990,RI,Total,1107316
1990,RI,Coal,0
1990,RI,Hydro,9946
1990,RI,Natural Gas,876943
1990,RI,Petroleum,185671
1990,SC,Total,71363174
1990,SC,Coal,23411867
1990,SC,Hydro,3298066
1990,SC,Natural Gas,787535
1990,SC,Nuclear,42880669
1990,SC,Petroleum,172575
1990,SD,Total,6427473
1990,SD,Coal,2472514
1990,SD,Hydro,3934402
1990,SD,Natural Gas,12408
1990,SD,Petroleum,8149
1990,TN,Total,76187609
1990,TN,Coal,51825606
1990,TN,Hydro,10015363
1990,TN,Natural Gas,224146
1990,TN,Nuclear,14002591
1990,TN,Petroleum,137067
1990,TX,Total,281559635
1990,TX,Coal,120921396
1990,TX,Hydro,1793625
1990,TX,Natural Gas,136234325
1990,TX,Nuclear,15859258
1990,TX,Petroleum,1827803
1990,TX,Solar,385
1990,UT,Total,32563539
1990,UT,Coal,31522926
1990,UT,Hydro,508443
1990,UT,Natural Gas,146488
1990,UT,Petroleum,51852
1990,VA,Total,52564458
1990,VA,Coal,23899902
1990,VA,Hydro,1309499
1990,VA,Natural Gas,1134809
1990,VA,Nuclear,23820152
1990,VA,Petroleum,1438264
1990,VA,Solar,34
1990,VT,Total,5164108
1990,VT,Hydro,1365031
1990,VT,Natural Gas,65281
1990,VT,Nuclear,3616268
1990,VT,Petroleum,2543
1990,VT,Wind,0
1990,WA,Total,102071533
1990,WA,Coal,7390279
1990,WA,Hydro,87466708
1990,WA,Natural Gas,288058
1990,WA,Nuclear,5742027
1990,WA,Petroleum,42981
1990,WI,Total,47768857
1990,WI,Coal,33168941
1990,WI,Hydro,2014412
1990,WI,Natural Gas,347204
1990,WI,Nuclear,11225913
1990,WI,Petroleum,179457
1990,WI,Wind,44
1990,WV,Total,79539544
1990,WV,Coal,77643366
1990,WV,Hydro,1295051
1990,WV,Natural Gas,90063
1990,WV,Petroleum,325675
1990,WY,Total,39974965
1990,WY,Coal,38908467
1990,WY,Hydro,644613
1990,WY,Natural Gas,268202
1990,WY,Petroleum,49205
1991,AK,Total,5389828
1991,AK,Coal,520514
1991,AK,Hydro,896113
1991,AK,Natural Gas,3319395
1991,AK,Petroleum,513425
1991,AK,Wind,0
1991,AL,Total,88786612
1991,AL,Coal,58222842
1991,AL,Hydro,10757723
1991,AL,Natural Gas,1222500
1991,AL,Nuclear,15874637
1991,AL,Petroleum,167824
1991,AR,Total,40651244
