osm_id,lat,lon,name,operator,city,state
273896089,38.9844198,-77.4238096,Centersquare IAD2-A,Centersquare,Sterling,VA
278560778,33.6570094,-84.4152195,Digital Realty Data Center,Digital Realty,Atlanta,GA
279410762,40.7607798,-74.0257417,Cyxtera (Digital Realty Trust) Citibank Data Center,Cyxtera,Weehawken,NJ
284044002,33.9255145,-84.4816338,CoreSite AT2 - Marietta Data Center,CoreSite,,GA
289620443,37.7236272,-122.3979543,Digital Realty San Francisco SFO10,Digital Realty,San Francisco,CA
296374269,40.6356953,-75.4575733,Flexential Allentown data center,Flexential,Allentown,PA
299388896,37.4056857,-121.9162604,CoreSite SV2,"CoreSite Real Estate 1656 McCarthy, L.P.",,CA
300952513,33.2749228,-111.8866379,Digital Realty Phoenix PHX15,Digital Realty,Chandler,AZ
300969250,39.0125623,-77.4754047,Equinix DC13,Equinix,Ashburn,VA
328703598,45.5498253,-122.8908454,Flexential,Flexential,Hillsboro,OR
329551673,38.2771906,-85.5072402,Flexential Louisville - East,Flexential,Louisville,KY
330276516,38.242501,-85.733336,Flexential Louisville - Downtown,Flexential,Louisville,KY
337127824,47.2435798,-119.8657481,NTT Data Quincy,NTT,,WA
355926681,40.6203519,-111.986047,Flexential Salt Lake City - South Valley,Flexential,West Jordan,UT
364289073,29.47827,-98.6906853,Microsoft,Microsoft,San Antonio,TX
366049843,40.127067,-75.4086586,Lumen Norristown,Lumen Technologies,,PA
590213771,33.1385206,-96.6599516,CyrusOne Allen,CyrusOne,,TX
377545385,39.558994,-104.8375559,Flexential Denver - Englewood,Flexential,Englewood,CO
377585075,42.4476693,-83.2626336,EdgeConneX Detroit DET01,EdgeConneX,,MI
383796776,41.4321977,-82.7189574,,Aligned Data Centers,,OH
387378765,34.0353956,-84.0611057,QTS Suwanee Data Center 1,Quality Technology Services,,GA
392324240,33.9547396,-84.1985246,Flexential Atlanta - Norcross,Flexential,Norcross,GA
396296733,47.841809,-122.3016653,Centersquare Lynnwood SE1,Centersquare,Lynnwood,WA
409296605,41.9283557,-87.8592545,Digital Realty Chicago ORD12,Digital Realty,Franklin Park,IL
426586135,39.922465,-104.9834252,Google - Thornton,Google,Thorton,CO
438077632,41.5406093,-93.8248434,Microsoft,Microsoft,,IA
438078069,41.6642482,-93.5147581,Facebook Altoona Data Center 1,Meta,,IA
