osm_id,lat,lon,name,operator,city,state
12112236372,39.7459702,-104.9941589,Flexential Denver - Downtown,Flexential,Denver,CO
12112238944,32.8004101,-96.8193707,Flexential Dallas - Downtown Dallas,Flexential,Dallas,TX
12112266917,30.2457482,-81.5817226,Flexential Jacksonville,Flexential,Jacksonville,FL
12112270180,39.6610488,-104.8488321,Flexential - Denver - Aurora,Flexential,Aurora,CO
12112295055,35.9727294,-86.8084949,Flexential Nashville - Brentwood,Flexential,Brentwood,TN
12112361725,35.8505281,-78.8291431,Flexential Raleigh,Flexential,Morrisville,NC
12112380995,28.0372991,-82.5399781,Flexential Tampa - West,Flexential,Tampa,FL
12112382397,40.3326480,-111.7278754,Flexential Salt Lake City - Lindon,Flexential,Lindon,UT
12221811811,40.7199280,-74.0044583,Digital Realty New York JFK13,Digital Realty,New York,NY
12221880448,40.7176766,-74.0084414,Digital Realty New York JFK12,Digital Realty,New York,NY
12331366645,33.7559857,-84.3911712,CoreSite AT1,CoreSite,Atlanta,GA
12387534800,35.0867385,-106.6153476,UNM Data Center,UNM,Albuquerque,NM
12437277166,37.3666621,-121.9628653,Prime Santa Clara,Prime,,
12452254071,40.5503501,-74.4568563,Open Data Centers Piscataway,,,
12471740457,40.7853948,-74.0750122,H5 Secaucus,H5,,
12550746951,37.3228675,-121.9474176,"Forescout Technologies, Inc.",,San Jose,CA
12682482760,42.7356308,-73.8186650,Lumen Albany 4,Lumen Technologies,Albany,NY
12695496267,41.8535578,-87.6180475,Equinix Chicago Data Center - CH1,Equinix,Chicago,IL
12708029111,40.3155580,-74.6688514,501 West,,Princeton,NJ
12766117170,40.6576957,-74.0048163,Dataverge,Dataverge,Brooklyn,NY
12793428582,36.0994735,-95.8382826,TulsaConnect DC3,,,
13019681063,33.3566787,-111.6352356,Comarch,,Mesa,AZ
13042311881,34.0584789,-118.2359144,CoreSite - LA2,CoreSite,Los Angeles,CA
13154826377,39.0137917,-77.4537977,Equinix,Equinix,Sterling,
13154826378,39.0160142,-77.4719540,NTT Ashburn VA7 Data Center,NTT,Ashburn,VA
13154826379,38.7999731,-77.6099636,NTT VA11 Data Center,NTT,Gainesville,VA
13226718075,43.0677161,-89.3922794,Lumen Madison 1 Data Center,Lumen Technologies,,
13311012216,36.0659405,-115.1398835,Fiberhub LAS1,Fiberhub,Las Vegas,NV
13409186015,40.0879189,-75.3397205,DāStor: 3400 Horizon Drive,,King of Prussia,PA
13465438761,32.7784469,-96.7984960,Rad Web Hosting,,Dallas,TX
13546262077,38.3531768,-81.6961822,Alpha Federal,Alpha Innovations,South Charleston,WV
13603878193,45.7430786,-108.6030144,Parsec Data Management,,,
13639231258,46.9741721,-96.8739403,Applied Digital,,Harwood,ND
13685576464,37.4892338,-77.2474761,RIC1 DC1,Quality Technology Services,,
13685576465,37.4886164,-77.2462097,RIC1 DC2,Quality Technology Services,,
13685576466,37.4878581,-77.2448256,RIC1 DC3,Quality Technology Services,,
13720841436,36.1532940,-95.9891930,TulsaConnect,,,
13720841437,36.1485011,-95.9905140,Windstream,,,
13720841438,36.1484524,-95.9908198,TulsaConnect,,,
25706343,32.8327160,-97.0410241,Cyxtera Dallas-Fort Worth Data Center,Cyxtera,,
28544618,32.8009535,-96.8195234,Equinix Infomart,Equinix,Dallas,TX
29827954,42.3767059,-71.0797577,CoreSite BO1,,Somerville,MA
30666790,34.0581039,-118.2353939,USPO Terminal Annex,United States Postal Service,Los Angeles,CA
30827429,32.7783107,-96.7984357,DataBank,,Dallas,TX
31250931,39.3038941,-84.3116127,CyrusOne Cincinnati-Mason CIN3,CyrusOne,,
31800424,32.8278941,-117.1299275,LightEdge SAN1,,San Diego,CA
31803515,32.8423554,-117.1694226,EdgeConneX San Diego,EdgeConneX,San Diego,CA
32560290,38.6504002,-121.4919461,RagingWire CA2,NTT,Sacramento,CA
32560292,38.6504319,-121.4891868,RagingWire CA1,NTT,Sacramento,CA
34770750,34.0820578,-84.2672921,Hewlett-Packard,,,
35491576,37.2415975,-121.7833277,Equinix SV1,Equinix,San Jose,CA
36897140,39.2940482,-84.4121132,,,,
37877544,37.3734695,-121.9878002,Lumen Sunnyvale 1,Lumen Technologies,Sunnyvale,CA
37947313,37.3788292,-121.9559257,OpenColo,,Santa Clara,CA
37947314,37.3784704,-121.9549839,Equinix Santa Clara SV2,Equinix,Santa Clara,CA
37947315,37.3780374,-121.9541277,Layer42 Santa Clara,Layer42,,
38305431,37.3724077,-121.9736470,Digital Realty Silicon Valley SJC34,Digital Realty,,
38305568,37.3714713,-121.9696826,Csquare SFO1,Csquare,Santa Clara,CA
38305611,37.3733075,-121.9727778,,Vantage,,
39083541,34.0948126,-84.2357244,Strategic Datasphere,,Alpharetta,GA
39083797,34.0869874,-84.2518240,Flexential Atlanta - Alpharetta Data Center,Flexential,Alpharetta,GA
39083830,34.0937063,-84.2508780,Secure Data Center,,,
40608200,37.3654018,-121.9616726,Cologix Santa Clara SV1 Data Center,Cologix,,
42323063,38.6292617,-90.1971749,Netrality Data Centers,,Saint Louis,MO
45448535,44.9914423,-93.2803397,,,,
45776978,38.7904948,-77.5411095,Amazon IAD11,Amazon Web Services,Manassas,VA
45776979,38.7903463,-77.5400098,Amazon IAD24,Amazon Web Services,Manassas,VA
45776988,38.7911993,-77.5382664,Amazon IAD7,Amazon Web Services,Manassas,VA
46128119,39.1026943,-84.5178996,CyrusOne CIN2,CyrusOne,Cincinnati,OH
46831933,38.7780614,-77.5949050,VA 4,Digital Realty,Bristow,VA
48242814,39.0216753,-77.4329728,Amazon IAD10,Amazon Web Services,Sterling,VA
48242816,39.0215693,-77.4347944,Amazon IAD32,Amazon Web Services,Sterling,VA
52059176,45.5496803,-122.9373872,NTT RagingWire Data Center,NTT,Hillsboro,OR
52094269,39.0238679,-77.4152091,Centersquare IAD1-B,Centersquare,Sterling,VA
52094270,39.0232978,-77.4132123,Centersquare IAD1-A,Centersquare,Sterling,VA
52094294,39.0247540,-77.4122043,Centersquare IAD1-C,Centersquare,Sterling,VA
52227492,44.8516116,-93.5988964,Flexential Minneapolis - Chaska,Flexential,Chaska,MN
52958203,39.7452303,-104.9793322,Pearl Plaza Office Building,,Denver,CO
54119665,37.3975720,-121.9809630,Csquare SFO2,Csquare,Santa Clara,CA
54119667,37.3986381,-121.9811563,Csquare SFO2,Csquare,Santa Clara,CA
54121151,37.3939862,-121.9783207,QTS Santa Clara 1,Quality Technology Services,Santa Clara,CA
54173383,37.3751575,-121.9717141,CoreSite SV3,CoreSite,Santa Clara,CA
54173753,37.3763019,-121.9720837,CoreSite SV6,CoreSite,,
54173755,37.3773827,-121.9718400,CoreSite SV8,CoreSite,,
54383196,37.3751959,-121.9706889,CoreSite SV5,CoreSite,,
54383197,37.3755551,-121.9696049,CoreSite SV9,CoreSite,,
58708529,37.3927307,-121.9784277,QTS Santa Clara 2,Quality Technology Services,,CA
59294476,39.0046933,-77.4417399,STACK NVA01A - Northern Virginia,Stack Infrastructure,,
63619642,44.9712882,-93.2546974,Minnesota Gateway Data Center,,Minneapolis,MN
69827429,42.6493531,-73.7527453,IBM Building,,Albany,NY
71187940,42.3262876,-83.0769768,,Verizon Wireless,Detroit,MI
79056848,43.1436204,-70.9524471,,University of New Hampshire,,NH
79158387,38.9484941,-77.3273071,VA3,Digital Realty,Reston,VA
79159494,38.9488119,-77.3294144,IAD1,Evocative,Reston,VA
